Name,Selected Bibliography,Primary
Ishikawa Mao,"熱き日々inキャンプハンセン‼︎ ( <i>Hot Days in Camp Hansen!!</i> ) (Okinawa: Aman, 1982).",
Ishikawa Mao,"日の丸を観る目 ( <i>Here’s What the Japanese Flag Means to Me</i> ) (Tokyo: Miraisha, 2011).",
Ishikawa Mao,"Zohar, Ayelet. ""Okinawa/Philadelphia/Tokyo: The Specificity and Complexity of Mao Ishikawa's Photographic Work,"" <i>Trans-Asia Photography Review Women's Camera Work: Asia</i> 2:2 (Spring): 2012.",
Kon Michiko,"Samuel C. Morse, ""Curatorial Project: Kon Michiko"" <i>Trans-Asia Photogrpahy Review</i> Vol. 4 Issue 2 (March 2014)",
Kon Michiko,"フィリア : 今道子 ( <i>Philia: Kon Michiko</i> ) (Museum of Modern Art, Kamakura & Hayama: 2021) exh. catalogue",
Kon Michiko,"""写真芸術の世界 今道子"" (""The World of Photo Art: Kon Michiko"") 版画芸術 50 (3) (2021): 108-113.",
Satō Nanako,"""佐藤奈々子とTera@momentインタビュアー "" <i>moment</i> (September 2, 2003): http://www.moment.gr.jp/9/interview.html",
Kamikura Yoshiko,"日本のコンテンポラリー : 写真をめぐる12の指標 ( <i>Japanese contemporary photography: twelve viewpoints</i> ) (東京都写真美術館, 1990)",
Yoneda Tomoko,"「米田知子が語る、写真によってとらえた「見えざる記憶と歴史」(""Tomoko Yoneda talks about 'invisible memories and history captured by photographs'"") <i>Bijutsu Teccho,</i> February 11, 2020",
Ishiuchi Miyako,"石内都展 : モノクロームー時の器 ( <i>Miyako Ishiuchi: Time Textured in Monochrome</i> ) (Tokyo: National Museum of Modern Art, Tokyo, 1999).",
Ishiuchi Miyako,"Amanda Maddox, et al. <i>Ishiuchi Miyako: Postwar Shadows</i> (Los Angeles: J. Paul Getty Museum, 2015).",Yes
Ishiuchi Miyako,"Ishiuchi Miyako, Lena Fritsch, and Christopher Phillips, <i>Ishiuchi Miyako: Hasselblad Award 2014</i> (Heidelberg: Kehrer Verlag, 2014).",
Yoneda Tomoko,"Atsuo Yasuda: “Between Visible and Invisible - concerning Tomoko Yoneda” in 米田知子展 : 終わりは始まり( <i>Yoneda Tomoko: An End is a Beginning</i> ), exh. cat. (Tokyo: Hara Museum of Contemporary Art, 2008)",
Yoneda Tomoko,"Atsuo Yamamoto: “PHOTOGRAPHING THE NEGATIVE ON THE TOMOKO YONEDA’S NEW WORK,” in 震災から10年 ( <i>A Decade After</i> ), exh. cat., (Ashiya, Hyogo: Ashiya City Museum of Art and History, 2005)",
Yoneda Tomoko,"Andrew Maerkle and Natsuko Odate, ""Tomoko Yoneda: Part I The Multiple Lives of Images"" February 1, 2012, ""Part II"" February 8, 2022 <i>Art iT</i>",
Higashi Yumi,Archives of Another Japanese Photo Stream: https://aajps.or.jp,
Higashi Yumi,"「足尾の今昔写真に記録」 <i>Asahi shimbun</i> (September 11, 2009)",
Higashi Yumi,"「足尾銅山の今昔写真展」 <i>Mainichi shimbun</i> (September 14, 2009)",
Watanabe Fujie,"「女流写真家　告知板」(""The Female Photographer Notification Board"") <i>Asahi Graph</i> (August, 1952): 24-25",
Takahashi Chiyo,"「女流写真家　告知板」(""The Female Photographer Notification Board"") <i>Asahi Graph</i> (August, 1952): 24-25",
Ogawa Chieko,"Ogawa Chieko, ""Josei cameraman arekore"" (""This and that on female cameramen"") <i>Foto tekune</i> (January 1957), 3-5.",
Ogawa Chieko,"「写真商売うらおもて：女流プロカメラマン」(""Both sides of the photo business: Professional women photographers"") <i>Asahi Kamera</i> (August, 1957): 155-160.",
Akahori Masuko,"「夏の宵・女流写真家・演題ばなし」(""A summer’s eve ・Female Photographer’s ・Bench talk"") Photo Art, September 1956",
,"「禁男の刑務所」Shūkan Shinchō, July 30, 1956",
Torii Kyoko,"「女流写真家　告知板」(""The Female Photographer Notification Board"") <i>Asahi Graph</i> (August, 1952): 24-25",
Mizoguchi Utako,"「野島康三とレディス・カメラ・クラブ」( <i>Nojima Yasuzō and the Lady's Camera Club in 1930s</i> ) (Tokyo: The Shoto Museum of Art, 1993).",
Tsuchiura Nobuko,"「野島康三とレディス・カメラ・クラブ」( <i>Nojima Yasuzō and the Lady's Camera Club in 1930s</i> ) (Tokyo: The Shoto Museum of Art, 1993).",
Matsunaga (Satō) Tazue,"「野島康三とレディス・カメラ・クラブ」( <i>Nojima Yasuzō and the Lady's Camera Club in 1930s</i> ) (Tokyo: The Shoto Museum of Art, 1993).",
Ushio Sayuri,"Ushio Sayuri, ""About"" https://www.sayuri-ushio.com/about",Yes
Takada Kyōko,“わたしの愛するチュニジア　高田京子 写真　.” わたしの愛するチュニジア　高田京子　写真 http://www.tohoshuppan.co.jp/2011ho/11-07/s11-181-7.html,Yes
Orisaku Mineko,"""織作峰子 フォトギャラリー Mineko Orisaku Photo Gallery"" http://www.orisaku.com/profile/",
Takahashi Junko,"Takahashi Junko, ""Profile"" http://www.junkotakahashi.com/profile.html",Yes
Onodera Yuki,"Yukiko Fujimoto, ed., with Tomoko Okabe, Kyoli Maeda, and François Cheval. <i>Yuki Onodera</i> exh. cat., (Tokyo: Tankosha; Tokyo Metropolitan Museum of Photography, 2010)",
Onodera Yuki,"Yuki Onodera and Atsuhiko Shima. オノデラユキ ( <i>Yuki Onodera</i> ) exh. cat., (Osaka: Kokuritsu Kokusai Bijutsukan, 2005)",
Onodera Yuki,"Yuki Onodera, ""Profile"" https://yukionodera.fr/ja/profile/",Yes
