Name,Year,Event,Image,Image caption,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1989,Publishes ライカでショット！お嬢さんカメラマンの昭和スナップ (Nice Shot! A Young Female Cameraman's Snapshots of the Shōwa Era),,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,1997,Wins the Tokyo Women's Foundation Award,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,2001,Wins the 16th Diamond Lady Award,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,2011,Wins the 45th Yoshikawa Eiji Culture Award and an award for distinguished service from the Photographic Society of Japan,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,2016,Wins the Lucie Award for Lifetime Achievement; the Japan Professional Photographers' Society establishes the Sasamoto Tsuneko Photography Award ,,,,,,,,,,,,,,,,,,,,,,,
Sasamoto Tsuneko,2018,Honoured with the title Tōkyō-to meiyotomin,,,,,,,,,,,,,,,,,,,,,,,
Matsuyama Tazuko,1977,Acquires a Pikkari Konica camera and begins documenting her hometown in Gifu Prefecture as plans for the Tokuyama Dam get underway,,,,,,,,,,,,,,,,,,,,,,,
Matsuyama Tazuko,1983,Publishes Furusato—watashi no Tokuyama mura shashin nikki (Jakometei shuppan),,,,,,,,,,,,,,,,,,,,,,,
Matsuyama Tazuko,1987,Moves to Gifu City when her village is condemned; Publishes Arigatō Tokyama mura: Matsuyama Tadzuko Shashinshū (Kageshobō),,,,,,,,,,,,,,,,,,,,,,,
Matsuyama Tazuko,1984,Recipient of the AVON Award for Women,,,,,,,,,,,,,,,,,,,,,,,
Matsuyama Tazuko,1988,Publishes Matsuyama Tazuko: Tokuyama mura shashin zenkiroku (Kageshobō),,,,,,,,,,,,,,,,,,,,,,,
Kiyooka Sumiko,1965,Travels to Tokyo from her hometown of Kyoto and begins work as a freelance photographer,,,,,,,,,,,,,,,,,,,,,,,
Kiyooka Sumiko,1967,Publishes the small photobook 尼寺 (Convent) (Mainichi Shinbunsha),,,,,,,,,,,,,,,,,,,,,,,
Kiyooka Sumiko,1970,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
