Name - romaji,Name - kanji,Region,Birth date,Active date,Inactive date,Death date,Bio,Link,Image,Image Caption,,,,,,,,,,,,,,,,
"Hara Mikiko
",原美樹子,Toyama,1967,,,,Hara Mikiko is known for street photography taken without using her viewfinder and scenes captured by quietly releasing the shutter to capture chance moments. ,,,,,,,,,,,,,,,,,,,
"Nomura Sakiko
",野村佐紀子,Yamaguchi,1967,1994,,,"Nomura Sakiko's work is known for her photographs of naked men that utlize interplay between darkeness and shadow. After the death of the model Nomura worked with since the beginning of her career she turned to landscapes, which she photographs in a style that resonates with the nudes.",,,,,,,,,,,,,,,,,,,
"Nakano Aiko
",中野愛子,Kanagawa,1968,1993,,,Nakano Aiko received recognition for portraits of women and nude self portraits in the mid-1990s but since has worked prolifically in exhibiting her fashion and commerical work.,,,,,,,,,,,,,,,,,,,
"Mogi Ayako
",茂木綾子,Hokkaidō,1969,1992,,,Mogi Ayako lives and work in the artist community Nomad-mura and her photobook documents the travels of her young family around Europe through abstract representations of moments in time.,,,,,,,,,,,,,,,,,,,
"Matsumoto Noriko
",松本典子,Tokyo,1970,1999,,,"Matsumoto Noriko has received recognition for her photographs of the rabbits of Usagijima, an abaondoned island taken over by feral rabbits. ",,,,,,,,,,,,,,,,,,,
"Honda Kana
",本田かな,Tokyo,1970,1995,,,Honda Kana's work is known for meticulously detailed collages that piece together black and white photographs to make surreal cityscapes and scenes including cherry blossoms and flowers. ,,,,,,,,,,,,,,,,,,,
"Hanayo
",花代 ,Tokyo,1970,1996,,,"Hanayo is a Berlin and Tokyo-based photographer, musician, and former geisha whose photographs depict her everyday life in dreamy coloscapes utlizing a high level of blur and emphasis of light. ",,,,,,,,,,,,,,,,,,,
Noguchi Rika ,野口里佳,Saitama,1971,1996,,,"Noguchi Rika's photographs depict scenes from nature, such as landscapes, plants, and animals, photographed in close-up or catching the light in ways that bring fresh perspectives or disorient the viewer. She also works with pinhole cameras to capture images of the sun.",,,,,,,,,,,,,,,,,,,
"Ninagawa Mika
",蜷川実花,Tokyo,1972,1998,,,"Ninagawa Mika is known for her use of vibrant colors used in self-portraits, and portraits of friends and family as well as dynamically framed images that she often manipulated with a color copier. In 2007 she pivoted to directing films and music videos.",,,,,,,,,,,,,,,,,,,
"Kawauchi Rinko
",川内倫子,Shiga,1972,1995,,,"Kawauchi Rinko creates collections of photographs that focus on everyday details from her life that she forms into photobooks, video works, and exhibitions. Focusing her Rolleiflex or digital camera on shadows, irridescences, or the field burnings at Mt. Aso she creates relationships between light, shapes, and movement. ",,,,,,,,,,,,,,,,,,,
